tourist_id,timestamp,latitude,longitude,zone_type,planned_route,battery_level,network_status,status,hour,minute,delta_lat,delta_lon,zone_encoded,cluster,risk,next_risk
T001,2025-09-08 10:00:00,18.51422266416112,73.8529844517507,Safe,Shaniwar Wada,100.0,Poor,Normal,10,0,0.0,0.0,2,-1,Restricted,Restricted
T001,2025-09-08 10:00:30,18.516529487121467,73.8519693906889,Safe,Pataleshwar Caves,99.89,Good,Normal,10,0,0.002306822960346011,-0.0010150610618069322,2,-1,Restricted,Restricted
T001,2025-09-08 10:01:00,18.51367174438269,73.85018921195125,Safe,Pataleshwar Caves,99.85,Good,Normal,10,1,-0.0028577427387759258,-0.0017801787376470202,2,-1,Restricted,Restricted
T001,2025-09-08 10:01:30,18.515755637626448,73.85917255741124,Safe,Aga Khan Palace,99.51,Poor,Normal,10,1,0.002083893243757018,0.008983345459995462,2,-1,Restricted,Safe
T001,2025-09-08 10:02:00,18.52434230078802,73.84778189913742,Safe,Sinhagad Fort,99.24,Good,Normal,10,2,0.008586663161572972,-0.011390658273825238,2,49,Safe,Restricted
T001,2025-09-08 10:02:30,18.518758744444707,73.85922447932711,Restricted,Sinhagad Fort,99.26,Poor,Normal,10,2,-0.0055835563433142,0.01144258018969424,1,-1,Restricted,Restricted
T001,2025-09-08 10:03:00,18.529061379694284,73.86349288200731,Safe,Lal Mahal,99.0,Poor,Normal,10,3,0.010302635249576753,0.004268402680196459,2,-1,Restricted,Restricted
T001,2025-09-08 10:03:30,18.51606695944038,73.86541725603284,Safe,Aga Khan Palace,98.63,Good,Normal,10,3,-0.012994420253903627,0.001924374025534803,2,-1,Restricted,Safe
T001,2025-09-08 10:04:00,18.522409403503925,73.85069050496276,Safe,Lal Mahal,99.4,Good,Normal,10,4,0.006342444063545116,-0.014726751070085697,2,0,Safe,Safe
T001,2025-09-08 10:04:30,18.520308547508368,73.85857221013727,Safe,Pataleshwar Caves,99.06,Poor,Normal,10,4,-0.002100855995557538,0.007881705174511922,2,1,Safe,Restricted
T001,2025-09-08 10:05:00,18.523590790064095,73.85522734368213,Safe,Lal Mahal,98.24,Poor,Normal,10,5,0.0032822425557270662,-0.0033448664551372076,2,-1,Restricted,Restricted
T001,2025-09-08 10:05:30,18.517770349643477,73.85105563177498,High-Risk,Pataleshwar Caves,99.34,Good,Normal,10,5,-0.0058204404206172455,-0.004171711907147824,0,-1,Restricted,Restricted
